Transaction Date,Description,Amount,Type
15/01/2024,MCDONALDS LAHORE DHA,850.00,Debit
16/01/2024,SALARY CREDIT JANUARY,95000.00,Credit
17/01/2024,LESCO ELECTRICITY BILL,4200.50,Debit
18/01/2024,UBER TRIP PAYMENT,320.00,Debit
19/01/2024,  KFC GULBERG BRANCH  ,1150.00,Debit
20/01/2024,DARAZ.PK ONLINE PURCHASE,3500.00,Debit
21/01/2024,HOUSE RENT PAYMENT,28000.00,Debit
22/01/2024,NETFLIX SUBSCRIPTION,1100.00,Debit
22/01/2024,NETFLIX SUBSCRIPTION,1100.00,Debit
23/01/2024,CARREFOUR GROCERY,2200.00,Debit
24/01/2024,PSO FUEL STATION,3800.00,Debit
25/01/2024,AGA KHAN HOSPITAL FEE,5500.00,Debit
26/01/2024,UNIVERSITY SEMESTER FEE,25000.00,Debit
27/01/2024,Rs 850 CHAI WALA CAFE,850,Debit
28/01/2024,,500.00,Debit
29/01/2024,JAZZ MONTHLY PACKAGE,abc,Debit
30/01/2024,SUSPICIOUS WIRE TRANSFER,280000.00,Debit
31/01/2024,EASYPAISA TRANSFER,5000.00,Debit
01/02/2024,CAREEM RIDE BOOKING,450.00,Debit
02/02/2024,BAKERS INN MORNING ORDER,650.00,Debit